entrez	logFC	AveExpr	t	P.Value	adj.P.Val	B
72180	0.17819070743369	1.84399981432591	0.730858492573584	0.485821747434606	0.55381176987053	-6.96536392280318
107338	-0.0900767502259248	6.74346598430154	-0.730374599617921	0.48610151336448	0.554086097755521	-7.53680261265196
56305	-0.0976302819732098	6.79580871539426	-0.72944586819872	0.486638757862489	0.554653846565993	-7.53333577511469
217588	0.156377840680626	3.34336138780218	0.729294411970077	0.486726407384327	0.55470911260753	-7.25312552154212
67886	0.146713826844231	6.97783330305596	0.729120982231155	0.48682678578451	0.554778875352983	-7.52818770896473
68979	0.10399682631942	5.30259119251437	0.728527791490969	0.487170216485619	0.55511837104289	-7.50582648549866
108755	-0.137327088016292	2.81060684163758	-0.728471046964589	0.487203077218864	0.55511837104289	-7.14232999387674
70439	-0.108126483526576	6.43911644436095	-0.728330512819736	0.487284466658923	0.555159057918713	-7.54057578551968
51902	0.133741689807132	5.40188600862523	0.728274047040007	0.487317170925611	0.555159057918713	-7.51315974387841
237859	-0.224547877140411	4.3485773313337	-0.727789825170055	0.487597684388409	0.555433952501956	-7.4172313175387
72960	0.113749029184251	3.24511143761259	0.727436434708239	0.487802472078348	0.555622548809086	-7.27103407024349
217370	-0.103032955407463	4.55646967472504	-0.727205583045153	0.487936279265669	0.555730272235926	-7.43066592268402
14682	0.082233618063583	7.33466890078389	0.727038723777877	0.488033009681966	0.555795753509008	-7.5162210042771
72881	-0.0839526830270758	4.32120049351703	-0.726074960011952	0.488591958032567	0.556387578224239	-7.41277233835134
77739	0.324160204462893	1.61077843302713	0.725407914091411	0.488979062596879	0.556762159476138	-6.94906212909286
100041585	-0.111312111536538	3.58040068254871	-0.725372693298307	0.488999507662735	0.556762159476138	-7.33025485957735
67731	0.297198933434558	6.1943368548661	0.725017470459112	0.489205739253094	0.556952201938602	-7.52706270600659
94061	-0.0991170675590616	3.35301862470783	-0.724034640316121	0.489776632839952	0.5575573418129	-7.28077349981968
269470	0.10471255869387	5.36364597342505	0.723950527940529	0.489825510882461	0.557567421667491	-7.52143115492287
320717	0.175898475150531	5.55427413475812	0.723883932527138	0.489864211976839	0.557567421667491	-7.52267685422851
75616	0.116006052375465	4.89233758566595	0.723646518914133	0.490002197971853	0.557679666902724	-7.48667828432875
74006	-0.124132992773946	6.77503530889716	-0.72341366424219	0.490137558610586	0.55778890638057	-7.54265818867595
244879	-0.135826084952035	4.96771915668388	-0.723311182462554	0.490197139878014	0.557811896398785	-7.49236128782432
75255	-0.254640455216717	1.43554801248108	-0.722561881405048	0.490632913260308	0.558262930061231	-6.87468015121201
73316	-0.216171236986726	0.51477975640434	-0.72058214987349	0.491785471246123	0.55952941367079	-6.6816731889398
68277	0.176583263847619	3.63276464862232	0.720149738575915	0.492037443409005	0.559771133715248	-7.3368657441121
22184	-0.126234417673708	5.41506076842836	-0.719720893226949	0.492287419553784	0.560010544328569	-7.53518584549476
